белить	бел:ROOT/ить:SUFF
камнепад	кам:ROOT/непад:SUFF
камнерез	кам:ROOT/нерез:SUFF
окаменеть	о:PREF/кам:ROOT/енеть:SUFF
карта	карт:ROOT/а:SUFF
картина	карт:ROOT/ина:SUFF
картинка	карт:ROOT/инка:SUFF
картинный	карт:ROOT/инный:SUFF
картишки	карт:ROOT/ишки:SUFF
картограф	карт:ROOT/ограф:SUFF
картография	карт:ROOT/ография:SUFF
картотека	карт:ROOT/отека:SUFF
карточка	карт:ROOT/очка:SUFF
кожа	кож:ROOT/а:SUFF
кожанка	кож:ROOT/анка:SUFF
кожаный	кож:ROOT/аный:SUFF
кожевник	кож:ROOT/евник:SUFF
кожеед	кож:ROOT/еед:SUFF
кожемяка	кож:ROOT/емяка:SUFF
кожзаменитель	кож:ROOT/заменитель:SUFF
кожица	кож:ROOT/ица:SUFF
кожник	кож:ROOT/ник:SUFF
кожный	кож:ROOT/ный:SUFF
кожура	кож:ROOT/ура:SUFF
кожух	кож:ROOT/ух:SUFF
кожушок	кож:ROOT/ушок:SUFF
подкожный	под:PREF/кож:ROOT/ный:SUFF
зернистый	зерн:ROOT/истый:SUFF
зерно	зерн:ROOT/о:SUFF
зерновой	зерн:ROOT/овой:SUFF
зернодробилка	зерн:ROOT/одробилка:SUFF
зерноочистка	зерн:ROOT/оочистка:SUFF
зерноуборочный	зерн:ROOT/оуборочный:SUFF
зернохранилище	зерн:ROOT/охранилище:SUFF
зима	зим:ROOT/а:SUFF
зимний	зим:ROOT/ний:SUFF
зимник	зим:ROOT/ник:SUFF
зимовать	зим:ROOT/овать:SUFF
зимовка	зим:ROOT/овка:SUFF
зимовщик	зим:ROOT/овщик:SUFF
зимовье	зим:ROOT/овье:SUFF
зимородок	зим:ROOT/ородок:SUFF
зимостойкий	зим:ROOT/остойкий:SUFF
зимушка	зим:ROOT/ушка:SUFF
зимующий	зим:ROOT/ующий:SUFF
озимый	о:PREF/зим:ROOT/ый:SUFF
озимь	о:PREF/зим:ROOT/ь:SUFF
перезимовать	пере:PREF/зим:ROOT/овать:SUFF
по-зимнему	по-:PREF/зим:ROOT/нему:SUFF
предзимний	пред:PREF/зим:ROOT/ний:SUFF
предзимье	пред:PREF/зим:ROOT/ье:SUFF
заземление	за:PREF/земл:ROOT/ение:SUFF
землевладелец	земл:ROOT/евладелец:SUFF
земледелец	земл:ROOT/еделец:SUFF
земледелие	земл:ROOT/еделие:SUFF
землекоп	земл:ROOT/екоп:SUFF
землемер	земл:ROOT/емер:SUFF
землепашец	земл:ROOT/епашец:SUFF
землетрясение	земл:ROOT/етрясение:SUFF
землица	земл:ROOT/ица:SUFF
земля	земл:ROOT/я:SUFF
земляк	земл:ROOT/як:SUFF
земляника	земл:ROOT/яника:SUFF
землянин	земл:ROOT/янин:SUFF
землянка	земл:ROOT/янка:SUFF
земляной	земл:ROOT/яной:SUFF
землячка	земл:ROOT/ячка:SUFF
жар-птица	жар:ROOT/-птица:SUFF
жара	жар:ROOT/а:SUFF
жареный	жар:ROOT/еный:SUFF
жарить	жар:ROOT/ить:SUFF
жарища	жар:ROOT/ища:SUFF
жарко	жар:ROOT/ко:SUFF
жаркое	жар:ROOT/кое:SUFF
жаровня	жар:ROOT/овня:SUFF
жаропрочный	жар:ROOT/опрочный:SUFF
зажарить	за:PREF/жар:ROOT/ить:SUFF
поджарить	под:PREF/жар:ROOT/ить:SUFF
поджарка	под:PREF/жар:ROOT/ка:SUFF
пожар	по:PREF/жар:ROOT
пожарник	по:PREF/жар:ROOT/ник:SUFF
пожарный	по:PREF/жар:ROOT/ный:SUFF
прожарить	про:PREF/жар:ROOT/ить:SUFF
вызвездить	вы:PREF/звезд:ROOT/ить:SUFF
звезда	звезд:ROOT/а:SUFF
звездолёт	звезд:ROOT/олёт:SUFF
звездообразный	звезд:ROOT/ообразный:SUFF
звездопад	звезд:ROOT/опад:SUFF
звездоплавание	звезд:ROOT/оплавание:SUFF
звездочёт	звезд:ROOT/очёт:SUFF
созвездие	со:PREF/звезд:ROOT/ие:SUFF
звереть	звер:ROOT/еть:SUFF
зверинец	звер:ROOT/инец:SUFF
звериный	звер:ROOT/иный:SUFF
зверовод	звер:ROOT/овод:SUFF
зверолов	звер:ROOT/олов:SUFF
звероферма	звер:ROOT/оферма:SUFF
зверски	звер:ROOT/ски:SUFF
зверский	звер:ROOT/ский:SUFF
зверство	звер:ROOT/ство:SUFF
зверствовать	звер:ROOT/ствовать:SUFF
зверьё	звер:ROOT/ьё:SUFF
зверюга	звер:ROOT/юга:SUFF
зверюшка	звер:ROOT/юшка:SUFF
зверёк	звер:ROOT/ёк:SUFF
зверёныш	звер:ROOT/ёныш:SUFF
озвереть	о:PREF/звер:ROOT/еть:SUFF
дозвониться	до:PREF/звон:ROOT/иться:SUFF
зазвонить	за:PREF/звон:ROOT/ить:SUFF
звонарь	звон:ROOT/арь:SUFF
звонит	звон:ROOT/ит:SUFF
звонкий	звон:ROOT/кий:SUFF
звонко	звон:ROOT/ко:SUFF
звонкоголосый	звон:ROOT/коголосый:SUFF
звонница	звон:ROOT/ница:SUFF
звонок	звон:ROOT/ок:SUFF
звоночек	звон:ROOT/очек:SUFF
звонче	звон:ROOT/че:SUFF
озвончение	о:PREF/звон:ROOT/чение:SUFF
перезвон	пере:PREF/звон:ROOT
перезвонить	пере:PREF/звон:ROOT/ить:SUFF
трезвон	тре:PREF/звон:ROOT
трезвонить	тре:PREF/звон:ROOT/ить:SUFF
гусельки	гус:ROOT/ельки:SUFF
гусляр	гус:ROOT/ляр:SUFF
гуслярный	гус:ROOT/лярный:SUFF
гуслярский	гус:ROOT/лярский:SUFF
дорогой	дорог:ROOT/ой:SUFF
дорого	дорог:ROOT/о:SUFF
дороговато	дорог:ROOT/овато:SUFF
дороговизна	дорог:ROOT/овизна:SUFF
зубрище	зубр:ROOT/ище:SUFF
зубробизон	зубр:ROOT/обизон:SUFF
зубрёнок	зубр:ROOT/ёнок:SUFF
зубрёночек	зубр:ROOT/ёночек:SUFF
вызубрить	вы:PREF/зубр:ROOT/ить:SUFF
зазубрить	за:PREF/зубр:ROOT/ить:SUFF
зубрилка	зубр:ROOT/илка:SUFF
зубрёжка	зубр:ROOT/ёжка:SUFF
судовладелец	суд:ROOT/овладелец:SUFF
судовой	суд:ROOT/овой:SUFF
судостроение	суд:ROOT/остроение:SUFF
судоходный	суд:ROOT/оходный:SUFF
судёнышко	суд:ROOT/ёнышко:SUFF
неподсудный	непод:PREF/суд:ROOT/ный:SUFF
подсудимый	под:PREF/суд:ROOT/имый:SUFF
судейство	суд:ROOT/ейство:SUFF
судимость	суд:ROOT/имость:SUFF
судить	суд:ROOT/ить:SUFF
судопроизводство	суд:ROOT/опроизводство:SUFF
судья	суд:ROOT/ья:SUFF
междуречье	между:PREF/реч:ROOT/ье:SUFF
поречье	по:PREF/реч:ROOT/ье:SUFF
реченька	реч:ROOT/енька:SUFF
речка	реч:ROOT/ка:SUFF
речник	реч:ROOT/ник:SUFF
речной	реч:ROOT/ной:SUFF
речонка	реч:ROOT/онка:SUFF
изречение	из:PREF/реч:ROOT/ение:SUFF
оречевление	о:PREF/реч:ROOT/евление:SUFF
речевой	реч:ROOT/евой:SUFF
речетатив	реч:ROOT/етатив:SUFF
речистый	реч:ROOT/истый:SUFF
пораньше	по:PREF/ран:ROOT/ьше:SUFF
раненько	ран:ROOT/енько:SUFF
ранний	ран:ROOT/ний:SUFF
рановато	ран:ROOT/овато:SUFF
рань	ран:ROOT/ь:SUFF
раньше	ран:ROOT/ьше:SUFF
израненный	из:PREF/ран:ROOT/енный:SUFF
поранить	по:PREF/ран:ROOT/ить:SUFF
ранение	ран:ROOT/ение:SUFF
раненый	ран:ROOT/еный:SUFF
ранить	ран:ROOT/ить:SUFF
ранка	ран:ROOT/ка:SUFF
заработок	за:PREF/раб:ROOT/оток:SUFF
подработка	под:PREF/раб:ROOT/отка:SUFF
работать	раб:ROOT/отать:SUFF
работник	раб:ROOT/отник:SUFF
работница	раб:ROOT/отница:SUFF
работящий	раб:ROOT/отящий:SUFF
рабочий	раб:ROOT/очий:SUFF
рабовладение	раб:ROOT/овладение:SUFF
раболепие	раб:ROOT/олепие:SUFF
рабский	раб:ROOT/ский:SUFF
рабство	раб:ROOT/ство:SUFF
рабыня	раб:ROOT/ыня:SUFF
носилки	нос:ROOT/илки:SUFF
носильщик	нос:ROOT/ильщик:SUFF
носитель	нос:ROOT/итель:SUFF
переноска	пере:PREF/нос:ROOT/ка:SUFF
поднос	под:PREF/нос:ROOT
снос	с:PREF/нос:ROOT
длинноносый	длинно:PREF/нос:ROOT/ый:SUFF
носатый	нос:ROOT/атый:SUFF
носик	нос:ROOT/ик:SUFF
носовой	нос:ROOT/овой:SUFF
носорог	нос:ROOT/орог:SUFF
утконос	утко:PREF/нос:ROOT
молодецкий	молод:ROOT/ецкий:SUFF
молодчага	молод:ROOT/чага:SUFF
молодчик	молод:ROOT/чик:SUFF
молодчина	молод:ROOT/чина:SUFF
молоденький	молод:ROOT/енький:SUFF
молодка	молод:ROOT/ка:SUFF
молодняк	молод:ROOT/няк:SUFF
молодость	молод:ROOT/ость:SUFF
молодушка	молод:ROOT/ушка:SUFF
молодёжь	молод:ROOT/ёжь:SUFF
куриный	кур:ROOT/иный:SUFF
курица	кур:ROOT/ица:SUFF
курицын	кур:ROOT/ицын:SUFF
курник	кур:ROOT/ник:SUFF
куровод	кур:ROOT/овод:SUFF
куроед	кур:ROOT/оед:SUFF
курочка	кур:ROOT/очка:SUFF
курятина	кур:ROOT/ятина:SUFF
курятник	кур:ROOT/ятник:SUFF
закурить	за:PREF/кур:ROOT/ить:SUFF
курилка	кур:ROOT/илка:SUFF
курильщик	кур:ROOT/ильщик:SUFF
окурок	о:PREF/кур:ROOT/ок:SUFF
купец	куп:ROOT/ец:SUFF
купечество	куп:ROOT/ечество:SUFF
купленный	куп:ROOT/ленный:SUFF
купля	куп:ROOT/ля:SUFF
покупать	по:PREF/куп:ROOT/ать:SUFF
покупка	по:PREF/куп:ROOT/ка:SUFF
искупаться	ис:PREF/куп:ROOT/аться:SUFF
купава	куп:ROOT/ава:SUFF
купальник	куп:ROOT/альник:SUFF
купальный	куп:ROOT/альный:SUFF
купание	куп:ROOT/ание:SUFF
купель	куп:ROOT/ель:SUFF
кормилец	корм:ROOT/илец:SUFF
кормить	корм:ROOT/ить:SUFF
кормление	корм:ROOT/ление:SUFF
кормушка	корм:ROOT/ушка:SUFF
кормёжка	корм:ROOT/ёжка:SUFF
накормить	на:PREF/корм:ROOT/ить:SUFF
подкормка	под:PREF/корм:ROOT/ка:SUFF
кормило	корм:ROOT/ило:SUFF
кормовой	корм:ROOT/овой:SUFF
кормчий	корм:ROOT/чий:SUFF
кормщик	корм:ROOT/щик:SUFF
вокруг	во:PREF/круг:ROOT
круглый	круг:ROOT/лый:SUFF
кругляк	круг:ROOT/ляк:SUFF
кругом	круг:ROOT/ом:SUFF
красавица	крас:ROOT/авица:SUFF
красавка	крас:ROOT/авка:SUFF
красавчик	крас:ROOT/авчик:SUFF
красивенький	крас:ROOT/ивенький:SUFF
красивый	крас:ROOT/ивый:SUFF
красоваться	крас:ROOT/оваться:SUFF
красота	крас:ROOT/ота:SUFF
красотка	крас:ROOT/отка:SUFF
краснеть	крас:ROOT/неть:SUFF
красноватый	крас:ROOT/новатый:SUFF
красногрудый	крас:ROOT/ногрудый:SUFF
краснота	крас:ROOT/нота:SUFF
краснощёкий	крас:ROOT/нощёкий:SUFF
краснуха	крас:ROOT/нуха:SUFF
красильный	крас:ROOT/ильный:SUFF
красильня	крас:ROOT/ильня:SUFF
красильщик	крас:ROOT/ильщик:SUFF
краситель	крас:ROOT/итель:SUFF
красить	крас:ROOT/ить:SUFF
краска	крас:ROOT/ка:SUFF
краскопульт	крас:ROOT/копульт:SUFF
окрас	о:PREF/крас:ROOT
подкрасить	под:PREF/крас:ROOT/ить:SUFF
раскраска	рас:PREF/крас:ROOT/ка:SUFF
